code;Observed_median;Observed_quantile;Shannon_median;Shannon_quantile;q
C1;15;11;0,36;0,19;q0
C1;15;15;0,36;0,26;q1
C1;15;15;0,36;0,36;q2
C1;15;17;0,36;0,58;q3
C1;15;22;0,36;0,87;q4
C10;58,5;15;1,00;0,59;q0
C10;58,5;44;1,00;0,83;q1
C10;58,5;58,5;1,00;1,00;q2
C10;58,5;72,75;1,00;1,11;q3
C10;58,5;81;1,00;1,25;q4
C11;49;40;1,37;1,10;q0
C11;49;43;1,37;1,17;q1
C11;49;49;1,37;1,37;q2
C11;49;54;1,37;1,56;q3
C11;49;54;1,37;1,64;q4
C13;56;43;2,26;1,90;q0
C13;56;52;2,26;2,13;q1
C13;56;56;2,26;2,26;q2
C13;56;69;2,26;2,37;q3
C13;56;79;2,26;2,58;q4
C15;47;37;1,34;1,32;q0
C15;47;42;1,34;1,33;q1
C15;47;47;1,34;1,34;q2
C15;47;57,5;1,34;1,42;q3
C15;47;68;1,34;1,49;q4
C16;43,5;20;1,46;0,71;q0
C16;43,5;25;1,46;1,09;q1
C16;43,5;43,5;1,46;1,46;q2
C16;43,5;49,5;1,46;1,91;q3
C16;43,5;69;1,46;2,48;q4
C17;21;13;0,65;0,24;q0
C17;21;20;0,65;0,52;q1
C17;21;21;0,65;0,65;q2
C17;21;23;0,65;0,78;q3
C17;21;31;0,65;1,28;q4
C18;62;28;1,44;0,84;q0
C18;62;34,5;1,44;1,08;q1
C18;62;62;1,44;1,44;q2
C18;62;71;1,44;1,61;q3
C18;62;94;1,44;1,96;q4
C2;45,5;17;1,91;0,14;q0
C2;45,5;41;1,91;1,55;q1
C2;45,5;45,5;1,91;1,91;q2
C2;45,5;53,5;1,91;2,02;q3
C2;45,5;67;1,91;2,10;q4
C28;20;11;0,58;0,37;q0
C28;20;17,75;0,58;0,51;q1
C28;20;20;0,58;0,58;q2
C28;20;21,75;0,58;0,73;q3
C28;20;27;0,58;0,98;q4
C30;30,5;12;0,98;0,21;q0
C30;30,5;12,25;0,98;0,47;q1
C30;30,5;30,5;0,98;0,98;q2
C30;30,5;57;0,98;2,14;q3
C30;30,5;106;0,98;2,45;q4
C32;66;24;1,90;0,64;q0
C32;66;47,75;1,90;1,69;q1
C32;66;66;1,90;1,90;q2
C32;66;77,75;1,90;2,15;q3
C32;66;118;1,90;2,27;q4
C33;52,5;27;1,82;1,09;q0
C33;52,5;40,25;1,82;1,54;q1
C33;52,5;52,5;1,82;1,82;q2
C33;52,5;68;1,82;2,27;q3
C33;52,5;92;1,82;2,37;q4
C34;57;50;2,05;1,39;q0
C34;57;55,5;2,05;1,65;q1
C34;57;57;2,05;2,05;q2
C34;57;59,5;2,05;2,06;q3
C34;57;64;2,05;2,29;q4
C36;67;41;2,02;1,82;q0
C36;67;57;2,02;1,89;q1
C36;67;67;2,02;2,02;q2
C36;67;72;2,02;2,11;q3
C36;67;84;2,02;2,11;q4
C37;25;14;1,27;0,17;q0
C37;25;22;1,27;1,10;q1
C37;25;25;1,27;1,27;q2
C37;25;27;1,27;1,39;q3
C37;25;35;1,27;1,58;q4
C38;18;13;0,39;0,21;q0
C38;18;14;0,39;0,29;q1
C38;18;18;0,39;0,39;q2
C38;18;25;0,39;0,48;q3
C38;18;32;0,39;2,07;q4
C41;17,5;14;0,47;0,26;q0
C41;17,5;16,25;0,47;0,36;q1
C41;17,5;17,5;0,47;0,47;q2
C41;17,5;19,5;0,47;0,88;q3
C41;17,5;28;0,47;1,69;q4
C43;31;14;0,97;0,40;q0
C43;31;28,25;0,97;0,67;q1
C43;31;31;0,97;0,97;q2
C43;31;31;0,97;1,36;q3
C43;31;39;0,97;1,67;q4
C44;21,5;14;0,50;0,22;q0
C44;21,5;19;0,50;0,41;q1
C44;21,5;21,5;0,50;0,50;q2
C44;21,5;29,75;0,50;0,65;q3
C44;21,5;40;0,50;1,62;q4
C47;84;52;2,36;2,16;q0
C47;84;66;2,36;2,28;q1
C47;84;84;2,36;2,36;q2
C47;84;100,75;2,36;2,39;q3
C47;84;121;2,36;2,52;q4
C49;43;22;1,84;1,57;q0
C49;43;27;1,84;1,74;q1
C49;43;43;1,84;1,84;q2
C49;43;54;1,84;2,05;q3
C49;43;58;1,84;2,22;q4
C52;64;39;1,83;1,46;q0
C52;64;53,75;1,83;1,57;q1
C52;64;64;1,83;1,83;q2
C52;64;68,5;1,83;1,92;q3
C52;64;78;1,83;2,01;q4
C54;63;47;1,54;0,51;q0
C54;63;56,25;1,54;1,45;q1
C54;63;63;1,54;1,54;q2
C54;63;77;1,54;1,66;q3
C54;63;103;1,54;1,95;q4
C55;47;14;1,81;0,48;q0
C55;47;41;1,81;1,67;q1
C55;47;47;1,81;1,81;q2
C55;47;51;1,81;1,95;q3
C55;47;61;1,81;2,20;q4
C56;32,5;19;1,09;0,70;q0
C56;32,5;21;1,09;0,77;q1
C56;32,5;32,5;1,09;1,09;q2
C56;32,5;40,75;1,09;1,52;q3
C56;32,5;100;1,09;1,66;q4
C58;62;54;2,01;1,93;q0
C58;62;58;2,01;1,97;q1
C58;62;62;2,01;2,01;q2
C58;62;66;2,01;2,05;q3
C58;62;70;2,01;2,09;q4
C59;29;18;1,39;1,14;q0
C59;29;26,75;1,39;1,24;q1
C59;29;29;1,39;1,39;q2
C59;29;30,25;1,39;1,43;q3
C59;29;39;1,39;1,49;q4
C62;25;18;0,43;0,21;q0
C62;25;22;0,43;0,24;q1
C62;25;25;0,43;0,43;q2
C62;25;32,5;0,43;2,02;q3
C62;25;38;0,43;2,07;q4
C65;21;16;0,41;0,25;q0
C65;21;20,25;0,41;0,33;q1
C65;21;21;0,41;0,41;q2
C65;21;21;0,41;0,60;q3
C65;21;26;0,41;1,01;q4
C67;17,5;14;0,68;0,38;q0
C67;17,5;15,5;0,68;0,55;q1
C67;17,5;17,5;0,68;0,68;q2
C67;17,5;23,25;0,68;0,84;q3
C67;17,5;24;0,68;1,05;q4
C70;67;29;1,44;0,91;q0
C70;67;55,25;1,44;1,29;q1
C70;67;67;1,44;1,44;q2
C70;67;72,25;1,44;1,56;q3
C70;67;84;1,44;1,77;q4
C72;14;10;0,22;0,15;q0
C72;14;11,5;0,22;0,17;q1
C72;14;14;0,22;0,22;q2
C72;14;15,75;0,22;0,33;q3
C72;14;20;0,22;1,14;q4
C73;13,5;10;0,31;0,16;q0
C73;13,5;12;0,31;0,24;q1
C73;13,5;13,5;0,31;0,31;q2
C73;13,5;14,75;0,31;0,41;q3
C73;13,5;21;0,31;0,70;q4
C74;34;11;0,90;0,20;q0
C74;34;17;0,90;0,25;q1
C74;34;34;0,90;0,90;q2
C74;34;40;0,90;1,31;q3
C74;34;60;0,90;1,42;q4
C75;24,5;16;0,83;0,23;q0
C75;24,5;18;0,83;0,35;q1
C75;24,5;24,5;0,83;0,83;q2
C75;24,5;37,75;0,83;1,45;q3
C75;24,5;43;0,83;1,76;q4
C76;52,5;34;0,73;0,30;q0
C76;52,5;44,75;0,73;0,52;q1
C76;52,5;52,5;0,73;0,73;q2
C76;52,5;75,75;0,73;0,89;q3
C76;52,5;177;0,73;1,74;q4
C77;64,5;41;1,93;1,74;q0
C77;64,5;59,5;1,93;1,85;q1
C77;64,5;64,5;1,93;1,93;q2
C77;64,5;73,25;1,93;2,05;q3
C77;64,5;92;1,93;2,26;q4
C8;20,5;11;0,56;0,22;q0
C8;20,5;16,5;0,56;0,47;q1
C8;20,5;20,5;0,56;0,56;q2
C8;20,5;22,75;0,56;0,64;q3
C8;20,5;23;0,56;1,01;q4
C86;26;22;0,68;0,58;q0
C86;26;23,5;0,68;0,66;q1
C86;26;26;0,68;0,68;q2
C86;26;31;0,68;0,84;q3
C86;26;66;0,68;1,54;q4
C87;42;17;1,17;1,03;q0
C87;42;21,25;1,17;1,13;q1
C87;42;42;1,17;1,17;q2
C87;42;45;1,17;1,24;q3
C87;42;58;1,17;1,30;q4
C88;30,5;19;1,14;0,84;q0
C88;30,5;24,25;1,14;1,00;q1
C88;30,5;30,5;1,14;1,14;q2
C88;30,5;31;1,14;1,18;q3
C88;30,5;38;1,14;1,23;q4
C89;61;26;1,35;0,44;q0
C89;61;39;1,35;1,20;q1
C89;61;61;1,35;1,35;q2
C89;61;64,5;1,35;1,43;q3
C89;61;75;1,35;1,88;q4
C9;22;18;0,49;0,19;q0
C9;22;18;0,49;0,37;q1
C9;22;22;0,49;0,49;q2
C9;22;26,75;0,49;0,93;q3
C9;22;68;0,49;1,90;q4
C90;26;15;0,57;0,29;q0
C90;26;21,5;0,57;0,37;q1
C90;26;26;0,57;0,57;q2
C90;26;31,5;0,57;0,71;q3
C90;26;38;0,57;1,48;q4
C91;65;48;1,38;1,21;q0
C91;65;61,25;1,38;1,27;q1
C91;65;65;1,38;1,38;q2
C91;65;67,5;1,38;1,49;q3
C91;65;81;1,38;1,74;q4
